,0
21865,1
21866,1
21867,1
21868,1
21869,1
21870,1
21871,1
21872,1
21873,1
22321,2
22328,2
22329,2
22331,2
22332,2
22338,2
22340,2
22341,2
22717,1
22718,1
22719,1
22720,1
22724,1
22725,1
22726,1
22733,1
22734,1
22735,1
23025,1
23372,1
23373,1
23374,1
23375,1
23378,1
23381,1
23384,1
23385,1
23386,1
23388,1
23392,1
23393,1
23394,1
23395,1
23396,1
23397,1
23398,1
23399,1
23406,1
23410,1
23415,1
23416,1
23417,1
23418,1
23420,1
23422,1
23426,1
23427,1
23428,1
23430,1
23431,1
23432,1
23433,1
23434,1
23589,1
23592,1
23595,1
23598,1
24063,1
24066,1
24068,1
24070,1
24072,1
24074,1
24078,1
24275,1
24278,1
24279,1
24281,1
24283,1
24772,1
24773,1
24776,1
24777,1
24782,1
24994,1
25032,1
25046,1
25047,1
25049,1
25050,1
25056,1
25057,1
25058,1
25064,1
25069,1
25073,1
25075,1
25077,1
25078,1
25080,1
25081,1
25083,1
25086,1
25087,1
25089,1
25099,1
25127,1
25128,1
25192,1
25193,1
25199,1
25200,1
25202,1
25204,1
25205,1
25206,1
25207,1
25210,1
25212,1
25214,1
25219,1
25221,1
25222,1
25224,1
25225,1
25230,1
25232,1
25239,1
25242,1
25244,1
25246,1
25253,1
25255,1
25257,1
25260,1
25263,1
25265,1
25266,1
25267,1
25268,1
25274,1
25275,1
25276,1
25278,1
25284,1
25287,1
25289,1
25290,1
25294,1
25295,1
25298,1
25299,1
25300,1
25304,1
25307,1
25308,1
25312,1
25313,1
25316,1
25321,1
25322,1
25323,1
25325,1
25327,1
25329,1
25337,1
25339,1
25340,1
25342,1
25343,1
25345,1
25346,1
25348,1
25349,1
25353,1
25363,1
25365,1
25367,1
25369,1
25374,1
25375,1
25376,1
25377,1
25387,1
25388,1
25391,1
25392,1
25430,2
25434,1
25435,1
25450,1
25459,1
25467,1
25494,1
25498,1
25500,1
25501,1
25525,1
25614,1
25628,1
25661,1
25691,1
25701,1
25717,1
25763,1
25810,2
25818,1
25840,2
25849,1
25873,1
25892,1
25940,1
25941,2
25943,1
25947,1
25981,1
25983,1
25999,1
26020,1
26132,1
26198,1
26271,1
26292,1
26293,1
26297,1
26308,1
26310,1
26313,1
26314,1
26315,1
26442,1
26464,1
26508,1
26906,1
26909,1
26915,1
26916,1
26917,1
26922,1
26923,1
26924,1
27061,1
27067,2
27092,1
27095,1
27136,1
27141,1
27189,1
27206,2
27240,1
27241,1
27244,1
27267,1
27350,1
27370,1
27376,2
27380,2
27415,1
27432,2
27438,1
27462,1
27483,1
27484,1
27522,1
27531,1
27535,1
27543,2
27546,1
27559,1
27568,1
27582,1
27583,1
27599,2
27616,2
27619,1
27651,1
27653,1
27654,1
27655,1
27675,1
27686,1
27718,1
27739,1
27781,1
27808,1
27811,1
27826,1
27887,1
27915,1
27927,1
27976,1
27984,1
27989,1
27999,1
28036,1
28041,1
28043,1
28063,1
28137,1
28178,1
28180,1
28181,2
28236,1
28291,1
28381,1
28397,1
28431,2
28456,1
28465,2
28483,1
28501,1
28508,1
28521,1
28539,1
28554,1
28602,1
28657,2
28660,1
28670,1
28679,1
28715,1
28733,1
28745,1
28748,1
28783,2
28794,1
28803,1
28806,1
28808,1
28843,1
28849,1
28859,1
28863,1
28869,1
28890,1
28963,1
28969,1
28971,1
28973,1
28984,1
29014,1
29039,1
29061,1
29075,1
29076,1
29083,1
29121,1
29123,2
29132,1
29141,1
29145,2
29151,1
29155,1
29249,1
29252,1
29287,1
29288,1
29291,1
29302,2
29303,1
29322,2
29330,1
29345,1
29384,1
29520,1
29524,1
